word,source
abandon,26考研英语一考试大纲-45-L-1-abandon
abdomen,26考研英语一考试大纲-45-L-2-abdomen
abide,26考研英语一考试大纲-45-L-3-abide
ability,26考研英语一考试大纲-45-L-4-ability
able,26考研英语一考试大纲-45-L-5-able
abnormal,26考研英语一考试大纲-45-L-6-abnormal
aboard,26考研英语一考试大纲-45-L-7-aboard
abolish,26考研英语一考试大纲-45-L-8-abolish
abound,26考研英语一考试大纲-45-L-9-abound
about,26考研英语一考试大纲-45-L-10-about
above,26考研英语一考试大纲-45-L-11-above
abroad,26考研英语一考试大纲-45-L-12-abroad
abrupt,26考研英语一考试大纲-45-L-13-abrupt
absence,26考研英语一考试大纲-45-L-14-absence
absent,26考研英语一考试大纲-45-L-15-absent
absolute,26考研英语一考试大纲-45-L-16-absolute
absorb,26考研英语一考试大纲-45-L-17-absorb
abstract,26考研英语一考试大纲-45-R-2-abstract
absurd,26考研英语一考试大纲-45-R-3-absurd
abundant,26考研英语一考试大纲-45-R-4-abundant
abuse,26考研英语一考试大纲-45-R-5-abuse
academic,26考研英语一考试大纲-45-R-6-academic
academy,26考研英语一考试大纲-45-R-7-academy
accelerate,26考研英语一考试大纲-45-R-8-accelerate
accent,26考研英语一考试大纲-45-R-9-accent
accept,26考研英语一考试大纲-45-R-10-accept
acceptance,26考研英语一考试大纲-45-R-11-acceptance
access,26考研英语一考试大纲-45-R-12-access
accessory,26考研英语一考试大纲-45-R-13-accessory
accident,26考研英语一考试大纲-45-R-14-accident
acclaim,26考研英语一考试大纲-45-R-15-acclaim
accommodate,26考研英语一考试大纲-45-R-16-accommodate
accommodation,26考研英语一考试大纲-45-R-17-accommodation(s)
accommodations,26考研英语一考试大纲-45-R-17-accommodation(s)
accompany,26考研英语一考试大纲-45-R-18-accompany
accomplish,26考研英语一考试大纲-45-R-19-accomplish
accord,26考研英语一考试大纲-46-L-1-accord
accordance,26考研英语一考试大纲-46-L-2-accordance
accordingly,26考研英语一考试大纲-46-L-3-accordingly
according to,26考研英语一考试大纲-46-L-4-according to
account,26考研英语一考试大纲-46-L-5-account
accountant,26考研英语一考试大纲-46-L-6-accountant
accumulate,26考研英语一考试大纲-46-L-7-accumulate
accuracy,26考研英语一考试大纲-46-L-8-accuracy
accurate,26考研英语一考试大纲-46-L-9-accurate
accuse,26考研英语一考试大纲-46-L-10-accuse
accustom,26考研英语一考试大纲-46-L-11-accustom
ache,26考研英语一考试大纲-46-L-12-ache
achieve,26考研英语一考试大纲-46-L-13-achieve
acid,26考研英语一考试大纲-46-L-14-acid
acknowledge,26考研英语一考试大纲-46-L-15-acknowledge
acquaint,26考研英语一考试大纲-46-L-16-acquaint
acquaintance,26考研英语一考试大纲-46-L-17-acquaintance
acquire,26考研英语一考试大纲-46-L-18-acquire
acquisition,26考研英语一考试大纲-46-L-19-acquisition
acre,26考研英语一考试大纲-46-L-20-acre
across,26考研英语一考试大纲-46-L-21-across
act,26考研英语一考试大纲-46-L-22-act
action,26考研英语一考试大纲-46-L-23-action
activate,26考研英语一考试大纲-46-R-1-activate
active,26考研英语一考试大纲-46-R-2-active
activity,26考研英语一考试大纲-46-R-3-activity
actor,26考研英语一考试大纲-46-R-4-actor / actress
actress,26考研英语一考试大纲-46-R-4-actor / actress
actual,26考研英语一考试大纲-46-R-5-actual
acute,26考研英语一考试大纲-46-R-6-acute
adapt,26考研英语一考试大纲-46-R-7-adapt
add,26考研英语一考试大纲-46-R-8-add
addict,26考研英语一考试大纲-46-R-9-addict
addition,26考研英语一考试大纲-46-R-10-addition
additional,26考研英语一考试大纲-46-R-11-additional
address,26考研英语一考试大纲-46-R-12-address
adequate,26考研英语一考试大纲-46-R-13-adequate
adhere,26考研英语一考试大纲-46-R-14-adhere
adjacent,26考研英语一考试大纲-46-R-15-adjacent
adjective,26考研英语一考试大纲-46-R-16-adjective
adjust,26考研英语一考试大纲-46-R-17-adjust
administer,26考研英语一考试大纲-46-R-18-administer
administration,26考研英语一考试大纲-46-R-19-administration
admire,26考研英语一考试大纲-46-R-20-admire
admission,26考研英语一考试大纲-46-R-21-admission
admit,26考研英语一考试大纲-46-R-22-admit
adolescent,26考研英语一考试大纲-46-R-23-adolescent
adopt,26考研英语一考试大纲-47-L-1-adopt
adore,26考研英语一考试大纲-47-L-2-adore
adult,26考研英语一考试大纲-47-L-3-adult
advance,26考研英语一考试大纲-47-L-4-advance
